Date,Close,Symbol,Index,Index_Close,Company,stock_return,market_return
2005-01-03T00:00:00.000000000+0000,,TSLA,^GSPC,1202.0799560546875,Tesla,,
2005-01-04T00:00:00.000000000+0000,,TSLA,^GSPC,1188.050048828125,Tesla,,-0.011671359426547349
2005-01-05T00:00:00.000000000+0000,,TSLA,^GSPC,1183.739990234375,Tesla,,-0.003627842613197464
2005-01-06T00:00:00.000000000+0000,,TSLA,^GSPC,1187.8900146484375,Tesla,,0.003505858083953736
2005-01-07T00:00:00.000000000+0000,,TSLA,^GSPC,1186.18994140625,Tesla,,-0.0014311705807971168
2005-01-10T00:00:00.000000000+0000,,TSLA,^GSPC,1190.25,Tesla,,0.003422772738181143
2005-01-11T00:00:00.000000000+0000,,TSLA,^GSPC,1182.989990234375,Tesla,,-0.006099567120877967
2005-01-12T00:00:00.000000000+0000,,TSLA,^GSPC,1187.699951171875,Tesla,,0.003981403880320964
2005-01-13T00:00:00.000000000+0000,,TSLA,^GSPC,1177.449951171875,Tesla,,-0.008630125807352751
2005-01-14T00:00:00.000000000+0000,,TSLA,^GSPC,1184.52001953125,Tesla,,0.006004559558848686
2005-01-17T00:00:00.000000000+0000,,TSLA,^GSPC,,Tesla,,0.0
2005-01-18T00:00:00.000000000+0000,,TSLA,^GSPC,1195.97998046875,Tesla,,0.009674771847279584
2005-01-19T00:00:00.000000000+0000,,TSLA,^GSPC,1184.6300048828125,Tesla,,-0.009490104994474082
2005-01-20T00:00:00.000000000+0000,,TSLA,^GSPC,1175.4100341796875,Tesla,,-0.007782996095930451
2005-01-21T00:00:00.000000000+0000,,TSLA,^GSPC,1167.8699951171875,Tesla,,-0.006414815973357037
2005-01-24T00:00:00.000000000+0000,,TSLA,^GSPC,1163.75,Tesla,,-0.0035277857419173508
2005-01-25T00:00:00.000000000+0000,,TSLA,^GSPC,1168.4100341796875,Tesla,,0.004004325825725027
2005-01-26T00:00:00.000000000+0000,,TSLA,^GSPC,1174.0699462890625,Tesla,,0.004844114603439441
2005-01-27T00:00:00.000000000+0000,,TSLA,^GSPC,1174.550048828125,Tesla,,0.00040892158135891513
2005-01-28T00:00:00.000000000+0000,,TSLA,^GSPC,1171.3599853515625,Tesla,,-0.0027159876922616434
2005-01-31T00:00:00.000000000+0000,,TSLA,^GSPC,1181.27001953125,Tesla,,0.008460280617075358
